Date,Open,High_ETH_EUR,Low_ETH_EUR,Volume,Index Value,High_OMX,Low_OMX,Total Market Value,Dividend Market Value
2017-11-12,265.18,278.42,258.0,13269.9226108,,,,,
2017-11-13,265.18,278.42,258.0,13269.9226108,1587.67,1599.31,1579.4,608024691166.0,464970328.0
2017-11-14,273.96,291.17,273.5,11261.55563253,1570.85,1591.25,1566.75,601447056333.0,0.0
2017-11-15,286.34,292.05,281.11,8105.54630191,1564.01,1570.78,1552.09,598829327516.0,0.0
2017-11-16,282.97,287.4,277.7,10117.16199473,1583.47,1585.09,1569.5,606279024561.0,0.0
2017-11-17,280.87,285.7,278.52,5351.08369162,1568.64,1584.83,1565.12,600601583200.0,0.0
2017-11-18,284.89,295.0,282.0,5528.35525934,,,,,
2017-11-19,294.99,318.49,291.5,19373.08185113,,,,,
2017-11-20,304.15,319.0,300.5,7858.48497403,1577.01,1578.91,1563.39,603805744122.0,0.0
2017-11-21,317.0,321.49,301.43,12391.26009779,1589.4,1590.87,1566.45,608548094856.0,34227017.0
2017-11-22,309.96,325.94,307.01,7793.55821793,1578.24,1591.69,1578.24,604275554852.0,0.0
2017-11-23,324.66,363.46,322.1,28834.25261664,1577.72,1580.34,1570.2,604079301572.0,0.0
2017-11-24,360.7,398.85,341.2,32661.28735855,1572.97,1580.76,1570.97,602257574308.0,0.0
2017-11-25,390.08,408.35,382.64,19337.27191604,,,,,
2017-11-26,392.0,396.03,380.11,14914.18635501,,,,,
2017-11-27,393.5,411.49,390.08,17223.73947169,1563.12,1574.91,1563.09,598488648818.0,0.0
2017-11-28,401.0,401.0,390.0,9762.37511341,1575.87,1577.2,1560.23,603370341039.0,0.0
2017-11-29,393.66,439.32,338.05,49205.26800719,1570.09,1589.89,1570.09,601156775048.0,0.0
2017-11-30,382.18,401.5,351.5,32101.51013088,1567.9,1579.13,1567.75,600316894027.0,0.0
2017-12-01,392.13,400.0,371.7,13426.0705105,1555.68,1572.18,1554.2,595638434081.0,0.0
2017-12-02,393.96,404.0,392.1,8656.43223803,,,,,
2017-12-03,399.07,404.99,390.12,11275.78351616,,,,,
2017-12-04,399.7,403.58,395.65,5529.46563682,1561.55,1571.14,1558.93,597886557860.0,0.0
2017-12-05,399.21,401.31,388.34,11307.91470812,1553.1,1565.53,1548.54,594652389203.0,0.0
2017-12-06,393.09,396.53,377.94,25432.85518717,1555.41,1562.53,1550.73,595536876492.0,0.0
2017-12-07,380.11,405.5,353.03,40559.11179611,1551.7,1562.73,1550.95,594114524986.0,0.0
2017-12-09,390.99,443.45,380.0,48321.07848869,,,,,
2017-12-10,413.25,416.9,375.0,17794.58475328,,,,,
2017-12-11,380.1,405.0,375.05,18167.44059424,1566.72,1573.02,1562.69,599865343600.0,0.0
2017-12-12,399.86,547.95,399.82,86744.04423081,1582.42,1582.42,1561.77,605876245166.0,0.0
2017-12-13,534.08,659.99,514.1,77680.3739914,1578.43,0.0,0.0,604350168690.0,0.0
2017-12-14,592.31,631.0,551.0,34272.61838519,1573.2,1583.9,1573.18,602348943045.0,0.0
2017-12-15,588.9,596.0,519.0,22129.38002566,1555.65,1569.14,1552.92,595629517058.0,0.0
2017-12-16,588.06,610.96,581.65,13217.83017501,,,,,
2017-12-17,590.79,626.0,590.78,13828.46955755,,,,,
2017-12-18,617.86,679.0,582.01,29679.73871267,1582.65,1584.24,1555.19,594793865447.0,0.0
2017-12-19,669.0,749.0,661.0,45067.77608428,1576.6,1588.74,1575.42,592520322566.0,0.0
2017-12-21,680.09,720.9,639.88,22762.84036864,1581.93,1582.78,1565.16,594524129603.0,0.0
2017-12-22,671.69,679.99,381.44,89482.07376324,1584.85,1586.31,1577.58,595620293605.0,0.0
2017-12-23,638.0,688.98,565.0,26572.25484091,,,,,
2017-12-24,650.08,662.99,545.0,23377.77698215,,,,,
2017-12-25,593.01,669.09,593.01,14205.34323614,1584.85,1585.29,1583.47,595620293605.0,0.0
2017-12-26,647.1,655.0,627.25,7800.55988708,1583.17,1584.13,1582.48,594991031569.0,0.0
2017-12-27,636.65,662.79,630.01,12872.9838806,1581.7,1590.87,1575.83,594437830682.0,0.0
2017-12-28,642.0,649.49,620.0,16266.35261173,1574.76,1582.58,1573.36,591829488663.0,0.0
2017-12-29,629.96,662.43,629.8,12408.36113593,1569.05,1579.52,1566.51,589682613821.0,0.0
2017-12-30,657.68,657.74,585.01,16690.68584595,,,,,
2017-12-31,629.99,658.75,605.01,12753.04396815,,,,,
2018-01-01,651.03,668.15,631.56,8830.76121459,1569.05,1569.05,1568.09,589682613821.0,0.0
2018-01-02,658.77,765.0,657.0,32928.28061533,1570.7,1575.69,1566.32,590301623278.0,0.0
2018-01-03,726.6,818.12,725.03,23982.78855953,1583.12,1585.71,1571.18,594971081588.0,0.0
2018-01-04,819.04,860.23,786.77,33361.23389515,1592.78,1595.94,1583.73,598600834792.0,0.0
2018-01-05,816.51,865.0,789.0,23529.93388266,1605.04,1605.04,1593.4,603206557928.0,0.0
2018-01-06,807.0,842.99,800.99,8861.63876094,,,,,
2018-01-07,837.36,918.0,830.3,18587.49058828,,,,,
2018-01-08,897.79,997.56,827.94,43396.51170753,1612.67,1612.86,1606.03,606075335631.0,0.0
2018-01-09,965.01,1097.5,951.22,33278.03392938,1622.03,1622.59,1613.63,609593995024.0,0.0
2018-01-10,1065.6,1154.0,1011.0,41999.39375045,1620.26,1624.16,1611.12,608930037074.0,0.0
2018-01-11,1033.4,1110.0,945.0,30898.21918387,1618.12,1626.63,1611.46,608122437773.0,0.0
2018-01-12,962.43,1067.8,921.0,18857.15938805,1611.27,1620.12,1605.87,605549794381.0,0.0
2018-01-13,1047.88,1183.0,1047.88,19843.54839709,,,,,
2018-01-14,1143.59,1148.78,1065.99,14380.09123487,,,,,
2018-01-15,1114.99,1146.66,1066.0,13993.25556079,1610.8,1613.02,1607.92,605372688772.0,0.0
2018-01-16,1079.49,1079.5,680.9,94744.82291284,1614.3,1618.49,1610.82,606686667032.0,0.0
2018-01-17,841.0,935.09,602.32,111108.98659045,1618.28,1621.31,1605.04,608184888161.0,0.0
