Date,Open,High,Low,Volume
02/04/2018,305.74,319.97,304.32,5661.299145
03/04/2018,311,344.38,309.02,11906.34482
04/04/2018,337.69,340,302.23,12347.30926
05/04/2018,307.05,317.31,300.2,6292.802977
06/04/2018,311.9,314,297.15,7874.369265
07/04/2018,300,320,299.33,3596.511437
08/04/2018,314.02,328.99,311.84,3954.562737
09/04/2018,326.89,352.61,315,15266.6312
10/04/2018,319.24,338.6,319,5890.145524
11/04/2018,332.51,343.84,331.41,6294.150623
12/04/2018,343.13,398.72,335,27735.46275
13/04/2018,398.7,429.69,391.82,24597.16053
14/04/2018,401.58,417.8,395,7557.264801
15/04/2018,412.8,429.98,406.33,7486.455502
16/04/2018,428.9,436.97,403,9959.404921
17/04/2018,409.55,420.99,406,5554.83704
18/04/2018,407.71,424.87,405,5692.852991
19/04/2018,422.25,458,419.06,10373.6738
20/04/2018,456.2,506.88,451.8,12181.68278
21/04/2018,501.31,510,466,12699.96508
22/04/2018,490.03,523.45,483,8828.995373
23/04/2018,508.36,529.59,501.79,10013.06776
24/04/2018,524.91,584,523.86,18561.39934
25/04/2018,577.39,579.15,489.12,37452.39908
26/04/2018,512.85,548,493,15717.31078
27/04/2018,545.65,570,527.43,13323.02517
28/04/2018,539.16,569.61,528,6305.910518
29/04/2018,563.51,574.9,550.1,6047.662892
30/04/2018,567.91,572.49,546.95,8173.741346
01/05/2018,548.9,560,519.96,10705.74691
02/05/2018,557.41,574.5,552.14,8710.566801
03/05/2018,574.5,648,572.34,20447.38521
04/05/2018,648,674,632.63,18032.22029
05/05/2018,659.83,687.89,650.74,10078.02759
06/05/2018,674.94,692.49,624,14019.73078
07/05/2018,655.7,661.53,585,24914.14521
08/05/2018,622.61,651.5,605.51,11537.58399
09/05/2018,635.01,639.06,601,8968.47874
10/05/2018,632.89,646.9,612.19,9118.274793
11/05/2018,615.98,618.03,550.51,22861.24497
13/05/2018,571.32,619.9,563,8235.000891
14/05/2018,617,625,573.3,16964.92343
15/05/2018,604,619.39,588,8571.403083
16/05/2018,593.21,607.49,575.1,6853.36616
17/05/2018,594.38,606.58,562.5,7472.28521
18/05/2018,569.4,589,558,7733.003686
19/05/2018,586.88,609,580,5261.692318
20/05/2018,588,613.1,585.31,4028.594115
21/05/2018,606.17,613.11,586.16,5021.043947
22/05/2018,592.02,593.63,542.87,8296.992973
23/05/2018,543.49,551.7,480.34,19936.20686
24/05/2018,498.39,521.58,465,14093.42988
25/05/2018,508,528.45,490.25,7397.429704
26/05/2018,490.98,519,490.98,3593.208887
27/05/2018,501.25,509.02,477.74,5214.367945
28/05/2018,486.86,499.01,435.45,11246.43101
29/05/2018,443.96,496.72,439.45,11145.8118
30/05/2018,485.73,507,464.5,7903.636834
31/05/2018,472.49,502,472.48,6764.458446
01/06/2018,489.97,504.63,482,4676.608657
03/06/2018,509.1,539.94,506.55,5474.011596
05/06/2018,506.92,524.49,493.33,5728.520253
06/06/2018,518.8,520.99,505.7,4993.749993
07/06/2018,514.37,522,510,4351.852551
10/06/2018,508.53,509.38,431,13755.63445
12/06/2018,446.22,458.51,413.27,10373.37724
13/06/2018,418.28,427.52,383,15451.37555
14/06/2018,403.8,454.98,396.46,14252.1512
15/06/2018,446.95,450.05,418.26,7315.249559
16/06/2018,422.24,434.41,417.22,3263.572846
18/06/2018,429.39,452.02,421.03,5816.353978
19/06/2018,445.5,474.6,443.37,6908.623669
20/06/2018,462.56,468.9,447.49,5426.639922
21/06/2018,461.84,470.58,450.59,5100.11777
22/06/2018,453.29,454.29,386.01,14397.1387
24/06/2018,411.2,411.2,362.89,10478.74844
25/06/2018,390.1,406.94,382.36,6122.378844
26/06/2018,394.9,395.37,371.57,6670.948638
27/06/2018,375.99,380.42,362.28,5376.969878
28/06/2018,379.36,387,367.17,4184.014945
29/06/2018,369.5,373.99,348,11028.20405
30/06/2018,372.5,393.65,371.2,5603.48615
01/07/2018,381.79,389.92,380.69,2270.489639
02/07/2018,387.99,414.87,381.89,7899.45865
03/07/2018,411.44,418.9,395.03,7122.740403
04/07/2018,396.38,414.85,386.7,5988.008032
05/07/2018,399.44,410,393.4,4539.600187
06/07/2018,399.82,404,387.12,4913.16944
07/07/2018,398.79,402,395.1,1991.380704
09/07/2018,416.84,416.85,404.06,4862.767735
10/07/2018,408.21,408.21,365.12,11740.33455
11/07/2018,374.31,382.81,363.6,6278.997766
13/07/2018,365.69,380,360,6572.113949
14/07/2018,370.36,377.5,368.8,2981.731946
15/07/2018,372.6,388.89,370.58,3741.585517
16/07/2018,384.7,409.66,381.35,9816.504108
17/07/2018,405.56,438.37,397.13,16629.5448
18/07/2018,428.39,439.99,402.01,14130.73538
19/07/2018,412.2,417.74,395.9,8630.34984
20/07/2018,402.9,404.05,377,9609.259045
21/07/2018,384.47,408.3,376.76,6288.17865
23/07/2018,391.71,401.9,383.1,7621.433206
24/07/2018,386.01,414.14,383.35,11494.34742
25/07/2018,408.57,415.97,397.15,8570.294456
27/07/2018,397.95,407.05,392.4,6526.236166
28/07/2018,404.65,405.98,397.8,2343.572334
29/07/2018,401.13,403.78,397.44,2590.476964
30/07/2018,399.5,402.92,380.27,6994.534557
31/07/2018,389.79,391,366.23,11100.614
01/08/2018,369.51,372,351,11995.67935
02/08/2018,360.49,363.98,351.33,7231.373709
03/08/2018,355.88,362.97,343.45,7467.15842
04/08/2018,361.56,363.38,346.06,6972.487509
05/08/2018,351.77,357.71,347.48,3535.042453
06/08/2018,355,357.1,347.2,5872.728974
08/08/2018,328.64,328.64,302.39,17940.52473
13/08/2018,281.28,283.41,247,21352.50903
14/08/2018,248.7,251.38,219.13,45453.39715
16/08/2018,254.4,264.22,244.14,14243.04697
17/08/2018,252.11,279.87,250.99,17724.02025
18/08/2018,276.71,280.98,247.99,11025.23093
19/08/2018,259.7,269.31,255.1,5203.643094
20/08/2018,264.23,265.94,234.91,12052.51983
22/08/2018,243.25,258.88,225.2,14455.74615
23/08/2018,232.8,243.68,232.01,9874.384448
26/08/2018,240.08,240.9,233,4003.741185
27/08/2018,235.17,240.9,234.12,7644.210765
28/08/2018,239,254.49,238.99,15264.86843
29/08/2018,253.58,255,243.5,12116.17639
02/09/2018,253.86,257.66,250.01,5790.692907
03/09/2018,252.85,255.87,246.3,10350.24024
04/09/2018,249.45,253,244.57,10976.70134
05/09/2018,247.11,248.29,204.51,32336.90964
06/09/2018,207.56,209.16,182.21,32557.74863
08/09/2018,188.68,191.28,166,18950.9526
09/09/2018,170.01,181,161.73,19976.15968
11/09/2018,168.37,172.63,151.5,25414.45726
15/09/2018,185.61,198.47,179.98,14915.66904
18/09/2018,167.79,184.19,166.68,21532.47674
20/09/2018,178.9,187.37,176.21,15469.75817
28/09/2018,196.29,200.78,185.62,19291.07507
01/10/2018,201.86,202.61,193.4,12918.61689
02/10/2018,199.69,199.95,192.79,9269.921707
05/10/2018,192.95,199.8,190.5,8190.609763
08/10/2018,194.01,200.84,193.98,11356.71649
09/10/2018,199.17,200,197.11,8100.669496
11/10/2018,194.14,194.65,166.84,38947.43167
12/10/2018,169.79,171.65,160.55,14946.38105
13/10/2018,168.72,173.99,168.14,6171.542254
15/10/2018,169.28,191.67,164.62,25529.33118
21/10/2018,176.85,178.96,175.61,4337.183078
22/10/2018,175.98,176.8,174.78,6419.073921
23/10/2018,176.01,176.6,173.28,8140.75425
26/10/2018,176.45,179.69,175.41,7783.363008
27/10/2018,176.35,177.5,176.05,2794.105113
30/10/2018,171.51,173.4,170.91,6866.066845
31/10/2018,172.64,176.42,169.83,7456.497438
01/11/2018,174.5,174.5,172.91,6208.087525
02/11/2018,174.04,177.18,173.54,7107.328459
03/11/2018,176.13,176.33,174.7,4789.154175
05/11/2018,183.89,185.93,180.68,9801.328518
07/11/2018,190.92,195,188.32,13173.22703
08/11/2018,190.1,191.32,185,10032.60541
13/11/2018,186.28,186.82,180.55,9586.486351
21/11/2018,110.93,121,107.55,37629.31866
24/11/2018,108.61,111.66,95.02,29751.95597
26/11/2018,100.54,103.2,90.67,41325.52758
27/11/2018,92.04,98.68,88.15,30292.10105
05/12/2018,96,96.58,89.65,22858.11941
06/12/2018,90.23,91,81.23,41742.24014
07/12/2018,81.74,85.31,72.35,88644.43509
11/12/2018,79.21,80.23,75.51,20989.74583
12/12/2018,77.53,80.46,76.51,17863.1821
15/12/2018,74.07,74.74,72.23,13798.50805
16/12/2018,74.1,77.44,73.65,12198.11959
17/12/2018,74.64,85.5,74.11,36982.74776
19/12/2018,84.5,95.75,83.73,61663.08462
29/12/2018,117.32,127.85,115.59,29888.88026
11/01/2019,111.07,112.47,106.22,24766.9707
13/01/2019,109.11,109.5,99.89,18599.33751
14/01/2019,101.51,115.4,100.53,28716.44101
15/01/2019,112.36,114.4,102.89,28269.66214
17/01/2019,107.35,108.77,103.12,13603.97101
18/01/2019,107.41,108.33,104.42,8643.45163
22/01/2019,102.04,105.34,97.26,18309.13364
29/01/2019,91.99,93.45,89.41,17436.64125
